"election_id","enp","largest_party_share","election_date","country","gov_start","election_date_cab","days_to_form","log_days","year"
359,3.49695431472081,0.409638554216867,1992-11-25,"IRL",1993-01-12,1992-11-25,48,3.89182029811063,1992
361,2.66598943518895,0.432098765432099,1979-06-10,"DEU",NA,NA,NA,NA,1979
363,7.87617065556712,0.252873563218391,1999-06-13,"ITA",NA,NA,NA,NA,1999
365,2.88325441239776,0.431693989071038,2002-11-24,"AUT",2003-02-28,2002-11-24,96,4.57471097850338,2002
368,2.4099173553719,0.462962962962963,2004-06-13,"ESP",NA,NA,NA,NA,2004
369,4,0.333333333333333,2009-06-05,"IRL",NA,NA,NA,NA,2009
372,4.81386392811296,0.3,1998-05-06,"NLD",1998-08-03,1998-05-06,89,4.49980967033027,1998
374,5.5,0.272727272727273,1999-06-13,"SWE",NA,NA,NA,NA,1999
377,2.14691270404542,0.490909090909091,1970-03-01,"AUT",1970-04-21,1970-03-01,51,3.95124371858143,1970
385,3.37603409375783,0.416252072968491,2002-09-22,"DEU",2002-10-22,2002-09-22,30,3.43398720448515,2002
387,5.55592162302757,0.307262569832402,1988-05-10,"DNK",1988-06-03,1988-05-10,24,3.2188758248682,1988
389,4.92862636517459,0.35195530726257,1998-03-11,"DNK",1998-03-11,1998-03-11,0,0,1998
399,2.35540434441246,0.54,1996-09-22,"GRC",1996-09-24,1996-09-22,2,1.09861228866811,1996
400,4.11045542014112,0.391061452513966,1971-09-21,"DNK",1971-10-11,1971-09-21,20,3.04452243772342,1971
404,4.0411162238385,0.406060606060606,1993-09-13,"NOR",1993-09-13,1993-09-13,0,0,1993
405,3.13165995737627,0.421739130434783,2009-09-27,"PRT",2009-10-26,2009-09-27,29,3.40119738166216,2009
408,3.34661161039592,0.487951807228916,2002-05-17,"IRL",2002-06-06,2002-05-17,20,3.04452243772342,2002
409,5.41690617075232,0.363128491620112,1977-02-15,"DNK",1977-02-15,1977-02-15,0,0,1977
412,3.50415719669726,0.461318051575931,1994-09-18,"SWE",1994-10-06,1994-09-18,18,2.94443897916644,1994
414,3.8135593220339,0.333333333333333,1979-06-10,"IRL",NA,NA,NA,NA,1979
417,3.13832853025937,0.434343434343434,1999-06-13,"DEU",NA,NA,NA,NA,1999
428,3.66506183612674,0.446991404011461,1988-09-18,"SWE",1988-09-18,1988-09-18,0,0,1988
434,5.81818181818182,0.25,1994-06-12,"DNK",NA,NA,NA,NA,1994
436,3.78151260504202,0.35,1979-12-03,"ISL",1980-02-08,1979-12-03,67,4.21950770517611,1979
445,3.17246271898074,0.404833836858006,1990-12-02,"DEU",1991-01-18,1990-12-02,47,3.87120101090789,1990
448,2.55102040816327,0.46,2009-06-07,"ESP",NA,NA,NA,NA,2009
452,2.22149253731343,0.519125683060109,1979-05-06,"AUT",1979-06-05,1979-05-06,30,3.43398720448515,1979
